predicted_time,station_name,model_A
2020-06-18 14:25:00,4109 - Mornay - Sully,6
2020-06-18 14:25:00,5020 - Institut du Monde Arabe - Saint-Germain,13
2020-06-18 14:25:00,5110 - LacÃ©pÃ¨de - Monge,2
2020-06-18 14:25:00,6008 - Assas - Luxembourg,5
2020-06-18 14:25:00,6027 - Blaise-Desgoffe - Vaugirard,10
2020-06-18 14:25:00,7007 - MusÃ©e d'Orsay,43
2020-06-18 14:25:00,7025 - Octave GrÃ©ard - Tour Eiffel,20
2020-06-18 14:25:00,8010 - LiÃ¨ge - Moscou,1
2020-06-18 14:25:00,8032 - Matignon - Faubourg Saint-HonorÃ©,33
2020-06-18 14:25:00,8052 - Balzac - Champs ElysÃ©es,25
2020-06-18 14:25:00,9002 - Abbeville - Faubourg PoissonniÃ¨re,2
2020-06-18 14:25:00,9020 - Toudouze - Clauzel,4
2020-06-18 14:25:00,9038 - Douai - Bruxelles,2
2020-06-18 14:25:00,10005 - Petites Ecuries - Faubourg PoissonniÃ¨re,12
2020-06-18 14:25:00,10023 - Gare de l'Est - Verdun,1
2020-06-18 14:25:00,10042 - Enghien - Faubourg PoissonniÃ¨re,8
2020-06-18 14:25:00,10166 - Strasbourg - Saint-Denis,12
2020-06-18 14:25:00,11019 - Charonne - Philippe-Auguste,4
2020-06-18 14:25:00,11035 - Parmentier - Abel rabaud,6
2020-06-18 14:25:00,11104 - Charonne - Robert et Sonia Delauney,1
2020-06-18 14:25:00,12007 - Gare de Lyon - Chalon,28
2020-06-18 14:25:00,12028 - Vivaldi - Antoine-Julien HÃ©nard,13
2020-06-18 14:25:00,12102 - Bercy - TraversiÃ©re,28
2020-06-18 14:25:00,12126 - Gravelle - Route du Bac,5
2020-06-18 14:25:00,13001 - Port-Royal - HÃ´pital du Val-de-GrÃ¢ce,0
2020-06-18 14:25:00,13020 - Paul Klee - Place Augusta Holmes,33
2020-06-18 14:25:00,13039 - Ivry - Simone Weil,6
2020-06-18 14:25:00,13102 - PitiÃ©-SalpÃªtriÃ¨re,42
2020-06-18 14:25:00,13126 - Place Nationale - ChÃ¢teau-des-Rentiers,1
2020-06-18 14:25:00,14013 - Liard - Amiral Mouchez,7
2020-06-18 14:25:00,14034 - Ouest - ChÃ¢teau,1
2020-06-18 14:25:00,14125 - Dareau - Broussais,4
2020-06-18 14:25:00,15004 - Vaugirard - Pasteur,19
2020-06-18 14:25:00,15023 - La Motte-Picquet - Grenelle,6
2020-06-18 14:25:00,15040 - Saint-Amand - Labrouste,3
2020-06-18 14:25:00,15058 - Place du Moulin de Javel,40
2020-06-18 14:25:00,15105 - FÃ©dÃ©ration - Suffren,2
2020-06-18 14:25:00,15128 - Cadix - Hameau,11
2020-06-18 14:25:00,16010 - Belles Feuilles - Place de Mexico,4
2020-06-18 14:25:00,16026 - Ranelagh - Mozart,4
2020-06-18 14:25:00,16044 - Porte de Saint Cloud - Parc des Princes,13
2020-06-18 14:25:00,16123 - Mahatma Gandhi,2
2020-06-18 14:25:00,17011 - Fragonard - Porte de Clichy,29
2020-06-18 14:25:00,17028 - Reims - Raymond Pitet,3
2020-06-18 14:25:00,17046 - Mac-Mahon - Brey,10
2020-06-18 14:25:00,17122 - Bridaine - LamandÃ©,2
2020-06-18 14:25:00,18015 - Custine - Ramey,4
2020-06-18 14:25:00,18031 - Place Albert Kahn,4
2020-06-18 14:25:00,18107 - Chartres - La CharbonniÃ¨re,4
2020-06-18 14:25:00,18142 - Jessaint - Marx Dormoy,2
2020-06-18 14:25:00,19018 - CitÃ© de la Musique,0
2020-06-18 14:25:00,19037 - Belleville - Porte des Lilas,0
2020-06-18 14:25:00,19111 - Cesaria Evora - Rosa Parks,28
2020-06-18 14:25:00,19201 - Petit - Georges Thill,2
2020-06-18 14:25:00,20016 - PyrÃ©nÃ©es - MaraÃ®chers,1
2020-06-18 14:25:00,20036 - MÃ©nilmontant - Pelleport,1
2020-06-18 14:25:00,20110 - Gambetta - Tourelles,2
2020-06-18 14:25:00,20137 - BorrÃ©go - Gambetta,0
2020-06-18 14:25:00,21013 - Pierre Grenier - Pont de Billancourt,9
2020-06-18 14:25:00,21032 - SÃ¨vres-Gallieni,12
2020-06-18 14:25:00,21207 - Verdier - RÃ©publique,1
2020-06-18 14:25:00,21310 - KlÃ©ber - Gouverneur GÃ©nÃ©ral EbouÃ©,19
2020-06-18 14:25:00,21701 - Larmeroux - Baudelaire,1
2020-06-18 14:25:00,22007 - Commandant Charcot - Bretteville,14
2020-06-18 14:25:00,22207 - Rond-point du Dr Albert Schweitzer,20
2020-06-18 14:25:00,22601 - Marx Dormoy - ChÃ¢teau Sainte-Barbe,16
2020-06-18 14:25:00,23101 - Grande Rue - Europe,3
2020-06-18 14:25:00,25001 - Colmar - Victor Hugo,9
2020-06-18 14:25:00,27005 - Gare du Stade,13
2020-06-18 14:25:00,31020 - RÃ©sistance - Parmentier,9
2020-06-18 14:25:00,31704 - Jeanne Hornet - Girardot,3
2020-06-18 14:25:00,32017 - Basilique,0
2020-06-18 14:25:00,33009 - FÃ©lix Faure - Sadi Carnot,21
2020-06-18 14:25:00,35005 - Quai de l'Aisne - GÃ©nÃ©ral Leclerc,7
2020-06-18 14:25:00,41102 - Gare de Laplace,9
2020-06-18 14:25:00,41402 - Victor Hugo - Ecoles,9
2020-06-18 14:25:00,42018 - AmÃ©dÃ©e Huon - Fort d'Ivry,3
2020-06-18 14:25:00,42304 - Marc Sangnier - Division Leclerc,22
2020-06-18 14:25:00,43006 - Vignerons - Minimes,11
2020-06-18 14:25:00,44010 - 8 Mai 1945 - 10 Juillet 1940,0
2020-06-18 14:25:00,46003 - Conservatoire de Musique,18
2020-06-18 14:25:00,48010 - Karl Marx,2
2020-06-18 14:25:00,1016 - ThÃ©rÃ¨se - OpÃ©ra,25
2020-06-18 14:25:00,2001 - Greneta - Sebastopol,25
2020-06-18 14:25:00,2021 - ClÃ©ry - Montmartre,42
2020-06-18 14:25:00,3008 - Perle - Vieille du Temple,16
2020-06-18 14:25:00,4012 - Tiron - Rivoli,7
2020-06-18 14:25:00,4110 - Neuve Saint-Pierre - Beautreillis,18
2020-06-18 14:25:00,5021 - Jussieu - FossÃ©s Saint-Bernard,20
2020-06-18 14:25:00,5114 - Claude Bernard - ArbalÃ¨te,3
2020-06-18 14:25:00,6009 - Guynemer - Jardin du Luxembourg,4
2020-06-18 14:25:00,6028 - Quatre Vents - Carrefour de l'OdÃ©on,19
2020-06-18 14:25:00,7008 - Villersexel - Saint-Germain,12
2020-06-18 14:25:00,7026 - Place de Finlande,20
2020-06-18 14:25:00,8011 - Clapeyron - Moscou,3
2020-06-18 14:25:00,8033 - Commandant RiviÃ¨re,23
2020-06-18 14:25:00,8053 - Place Georges Guillaumin,24
2020-06-18 14:25:00,9004 - GÃ©rando - Rochechouart,2
2020-06-18 14:25:00,9021 - Saint Georges - d'Aumale,5
2020-06-18 14:25:00,9039 - ChaussÃ©e d'Antin - Haussmann,25
2020-06-18 14:25:00,10006 - Petites Ecuries - Faubourg Saint-Denis,7
2020-06-18 14:25:00,10024 - Buisson Saint-Louis - Saint-Maur,0
2020-06-18 14:25:00,10105 - Mazagran - Bonne Nouvelle,0
2020-06-18 14:25:00,10201 - Magenta - Chabrol,4
2020-06-18 14:25:00,11020 - Belfort - Voltaire,4
2020-06-18 14:25:00,11036 - Jules Ferry - Faubourg du Temple Paris,8
2020-06-18 14:25:00,11105 - Parmentier - RÃ©publique,3
2020-06-18 14:25:00,12008 - Hector Malot - Daumesnil,40
2020-06-18 14:25:00,12029 - Dugommier,8
2020-06-18 14:25:00,12105 - Bercy - Villot,31
2020-06-18 14:25:00,12127 - Tremblay - Lac des Minimes,39
2020-06-18 14:25:00,13002 - Arago - GlaciÃ¨re,3
2020-06-18 14:25:00,13021 - Boussingault - Tolbiac,6
2020-06-18 14:25:00,13041 - Porte d'Ivry,9
2020-06-18 14:25:00,13103 - HÃ´pital PitiÃ© SalpÃªtriÃ¨re,25
2020-06-18 14:25:00,13128 - Quai de la Gare - Pont de Bercy,0
2020-06-18 14:25:00,14014 - Jourdan - Stade CharlÃ©ty,2
2020-06-18 14:25:00,14035 - Maine - Jean Zay,0
2020-06-18 14:25:00,14127 - Odessa - DÃ©part,1
2020-06-18 14:25:00,15005 - Place Jacques et ThÃ©rÃ¨se TrÃ©fouÃ«l,31
2020-06-18 14:25:00,15024 - Suffren - La Motte-Piquet,11
2020-06-18 14:25:00,15041 - Franquet - Labrouste,2
2020-06-18 14:25:00,15059 - Parc AndrÃ© CitroÃ«n,51
2020-06-18 14:25:00,15106 - Grenelle - Violet,13
2020-06-18 14:25:00,15129 - HÃ´pital Necker,14
2020-06-18 14:25:00,16011 - Victor Hugo - La Pompe,10
2020-06-18 14:25:00,16027 - Mozart - Jasmin,4
2020-06-18 14:25:00,16101 - Malakoff - Place de la Porte Maillot,0
2020-06-18 14:25:00,16124 - Route de SÃ¨vres - Porte de Bagatelle,9
2020-06-18 14:25:00,17012 - Mairie du 17Ã¨me,1
2020-06-18 14:25:00,17029 - Pierre Demours - Laugier,13
2020-06-18 14:25:00,17047 - Courcelles - Pierre Demours,7
2020-06-18 14:25:00,17123 - Clichy - Lechapelais,0
2020-06-18 14:25:00,18016 - Francoeur - Caulaincourt,3
2020-06-18 14:25:00,18032 - Porte de Clignancourt,2
2020-06-18 14:25:00,18108 - Evangile - Aubervilliers,0
